country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Algeria,September_LowSeason,Hotel El Biar,TND 163,5.7,Scored 5.7,52 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,AZ Hôtels Kouba,TND 401,7.9,Good,265 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Algiers Marriott Hotel Bab Ezzouar,TND 779,7.2,Good,104 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,SAMIR HOTEL,TND 183,8.6,Excellent,12 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Hôtel Sidi Yahia,TND 421,8.1,Very Good,582 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,SuperF2Scala,TND 249,8.8,Excellent,24 reviews,N/A,1,Apartment
Libya,May_Spring,Georgia's Comfort City Center apartment,TND 227,9.7,Exceptional,128 reviews,42,1,Apartment
Libya,May_Spring,Mainalon Resort,TND 227,8.5,Very Good,326 reviews,N/A,N/A,N/A
Libya,May_Spring,Sam's View City Heart Tripoli - Beautiful Apartment With Backyard,TND 186,9.4,Wonderful,126 reviews,72,2,Apartment
Libya,May_Spring,tripoli center apartment,TND 195,9.5,Exceptional,90 reviews,35,1,Apartment
Libya,May_Spring,AKROTHEA suites & lounge,TND 305,9.6,Exceptional,571 reviews,N/A,N/A,N/A
Libya,May_Spring,TripoliStay,TND 214,9.6,Exceptional,23 reviews,38,1,Apartment
Libya,May_Spring,Tripoli Center,TND 187,8.9,Excellent,184 reviews,35,1,Apartment
Libya,May_Spring,comfort apartment,TND 192,9.3,Wonderful,110 reviews,45,1,Apartment
Libya,May_Spring,In Centre Suite by Open City,TND 220,7.5,Good,171 reviews,35,1,Apartment
Libya,May_Spring,nice stay,TND 212,9.0,Wonderful,135 reviews,50,1,Apartment
Libya,May_Spring,Groovy Apartment,TND 315,9.6,Exceptional,50 reviews,89,2,Apartment
Libya,May_Spring,The Nest - Cozy Stay in Arcadia,TND 192,9.4,Wonderful,29 reviews,27,1,Apartment
Libya,May_Spring,NYX Guesthouse,TND 383,9.7,Exceptional,98 reviews,31,1,Apartment
Libya,May_Spring,Aire,TND 472,9.1,Wonderful,77 reviews,55,1,Apartment
Libya,May_Spring,Milea Agritourism,TND 857,9.8,Exceptional,75 reviews,N/A,1,Suite
Libya,May_Spring,Calma Apartment - Your calm escape in Arcadia,TND 219,9.7,Exceptional,7 reviews,45,2,Apartment
Libya,May_Spring,EleNic loft,TND 236,9.8,Exceptional,26 reviews,35,1,Apartment
Libya,May_Spring,Mary's Loft,TND 472,9.7,Exceptional,15 reviews,70,1,Apartment
Libya,May_Spring,Neossia - Tripoli City Escape,TND 215,9.8,Exceptional,22 reviews,42,1,Apartment
Libya,May_Spring,Orchidea Flat,TND 394,9.6,Exceptional,95 reviews,75,2,Apartment
Libya,May_Spring,s2 apartments,TND 305,7.6,Good,32 reviews,45,1,Apartment
Libya,May_Spring,apartment with view,TND 192,8.9,Excellent,87 reviews,20,1,Apartment
Libya,May_Spring,Palatino Rooms & Apartments,TND 373,8.5,Very Good,235 reviews,N/A,N/A,N/A
Libya,May_Spring,ΤΕΓΟΣ Country Guest House,TND 339,9.7,Exceptional,60 reviews,N/A,N/A,N/A
Libya,May_Spring,Alex Hotel,TND 331,8.1,Very Good,122 reviews,N/A,N/A,N/A
Libya,July_Summer,Διαμέρισμα 65 τμ στην καρδιά της πόλης,TND 183,9.6,Exceptional,324 reviews,65,1,Apartment
Libya,July_Summer,Mainalon Resort,TND 227,8.5,Very Good,326 reviews,N/A,N/A,N/A
Libya,July_Summer,Sam's View - City Heart Tripoli,TND 171,9.5,Exceptional,154 reviews,N/A,N/A,N/A
Libya,July_Summer,Fully equipped Apartment,TND 251,9.1,Wonderful,101 reviews,65,1,Apartment
Libya,July_Summer,tripoli center apartment,TND 201,9.5,Exceptional,90 reviews,35,1,Apartment
Libya,July_Summer,V&V Apartment,TND 245,9.5,Exceptional,187 reviews,35,1,Apartment
Libya,July_Summer,AKROTHEA suites & lounge,TND 406,9.6,Exceptional,571 reviews,N/A,N/A,N/A
Libya,July_Summer,TripoliStay,TND 214,9.6,Exceptional,23 reviews,38,1,Apartment
Libya,July_Summer,comfort apartment,TND 195,9.3,Wonderful,110 reviews,45,1,Apartment
Libya,July_Summer,In Centre Suite by Open City,TND 220,7.5,Good,171 reviews,35,1,Apartment
Libya,July_Summer,The Nest - Cozy Stay in Arcadia,TND 192,9.4,Wonderful,29 reviews,27,1,Apartment
Libya,July_Summer,Aire,TND 504,9.1,Wonderful,77 reviews,55,1,Apartment
Libya,July_Summer,Milea Agritourism,"TND 1,286",9.8,Exceptional,75 reviews,75,2,Suite
Libya,July_Summer,Calma Apartment - Your calm escape in Arcadia,TND 247,9.7,Exceptional,7 reviews,45,2,Apartment
Libya,July_Summer,Neossia - Tripoli City Escape,TND 246,9.8,Exceptional,22 reviews,42,1,Apartment
Libya,July_Summer,Orchidea Flat,TND 447,9.6,Exceptional,95 reviews,75,2,Apartment
Libya,July_Summer,s2 apartments,TND 305,7.6,Good,32 reviews,45,1,Apartment
Libya,July_Summer,Margarita Flat,TND 317,9.9,Exceptional,74 reviews,42,1,Apartment
Libya,July_Summer,apartment with view,TND 198,8.9,Excellent,87 reviews,20,1,Apartment
Libya,July_Summer,MARY'S HOUSE Roof Garden HUB,TND 365,9.6,Exceptional,47 reviews,70,2,Apartment
Libya,July_Summer,Palatino Rooms & Apartments,TND 406,8.5,Very Good,235 reviews,N/A,N/A,N/A
Libya,July_Summer,ΤΕΓΟΣ Country Guest House,TND 339,9.7,Exceptional,60 reviews,N/A,N/A,N/A
Libya,July_Summer,Alex Hotel,TND 331,8.1,Very Good,122 reviews,N/A,N/A,N/A
Libya,July_Summer,Andromachi House Tripoli,TND 226,8.8,Excellent,26 reviews,54,1,Apartment
Libya,July_Summer,V & G House,TND 339,9.8,Exceptional,22 reviews,55,1,Apartment
